strategy,round,participating_clients,local_epochs,client_samples,mean_client_loss,val_accuracy,val_precision,val_recall,val_f1,test_accuracy_at_0_5,test_precision_at_0_5,test_recall_at_0_5,test_f1_at_0_5
highly_non_iid,21,5,5,6000,0.467445,0.708,0.0839,0.7647,0.1512,0.755,0.1063,0.8382,0.1887
highly_non_iid,22,5,5,6000,0.46502,0.715,0.0858,0.7647,0.1543,0.758,0.109,0.8529,0.1933
highly_non_iid,23,5,5,6000,0.462743,0.7195,0.0871,0.7647,0.1564,0.7595,0.1096,0.8529,0.1943
highly_non_iid,24,5,5,6000,0.460602,0.7215,0.0877,0.7647,0.1573,0.762,0.1122,0.8676,0.1987
highly_non_iid,25,5,5,6000,0.458586,0.726,0.089,0.7647,0.1595,0.7645,0.1118,0.8529,0.1976
highly_non_iid,26,5,5,6000,0.456687,0.7275,0.0909,0.7794,0.1628,0.7655,0.1107,0.8382,0.1955
highly_non_iid,27,5,5,6000,0.454894,0.731,0.092,0.7794,0.1646,0.767,0.1113,0.8382,0.1966
highly_non_iid,28,5,5,6000,0.453201,0.7335,0.0928,0.7794,0.1659,0.7685,0.112,0.8382,0.1976
highly_non_iid,29,5,5,6000,0.4516,0.7345,0.0931,0.7794,0.1664,0.771,0.1131,0.8382,0.1993
highly_non_iid,30,5,5,6000,0.450085,0.737,0.094,0.7794,0.1677,0.774,0.1145,0.8382,0.2014
highly_non_iid,31,5,5,6000,0.448649,0.7395,0.0948,0.7794,0.1691,0.776,0.1154,0.8382,0.2028
highly_non_iid,32,5,5,6000,0.447287,0.741,0.0953,0.7794,0.1699,0.7765,0.1156,0.8382,0.2032
highly_non_iid,33,5,5,6000,0.445993,0.7415,0.0955,0.7794,0.1701,0.7785,0.1166,0.8382,0.2047
highly_non_iid,34,5,5,6000,0.444764,0.742,0.0957,0.7794,0.1704,0.7795,0.117,0.8382,0.2054
highly_non_iid,35,5,5,6000,0.443595,0.742,0.0957,0.7794,0.1704,0.781,0.1193,0.8529,0.2094
highly_non_iid,36,5,5,6000,0.442482,0.7435,0.0962,0.7794,0.1712,0.7825,0.1216,0.8676,0.2134
highly_non_iid,37,5,5,6000,0.441422,0.745,0.0967,0.7794,0.1721,0.7825,0.1216,0.8676,0.2134
highly_non_iid,38,5,5,6000,0.44041,0.7465,0.0972,0.7794,0.1729,0.783,0.1219,0.8676,0.2138
highly_non_iid,39,5,5,6000,0.439445,0.748,0.0978,0.7794,0.1738,0.7855,0.1232,0.8676,0.2157
highly_non_iid,40,5,5,6000,0.438523,0.7505,0.0987,0.7794,0.1752,0.787,0.1239,0.8676,0.2169
highly_non_iid,41,5,5,6000,0.437641,0.7525,0.0994,0.7794,0.1764,0.788,0.1245,0.8676,0.2177
highly_non_iid,42,5,5,6000,0.436797,0.7545,0.1017,0.7941,0.1803,0.7905,0.1258,0.8676,0.2197
highly_non_iid,43,5,5,6000,0.435989,0.755,0.1019,0.7941,0.1806,0.791,0.1245,0.8529,0.2172
highly_non_iid,44,5,5,6000,0.435215,0.755,0.1019,0.7941,0.1806,0.7935,0.1258,0.8529,0.2193
highly_non_iid,45,5,5,6000,0.434472,0.7565,0.1025,0.7941,0.1815,0.794,0.1245,0.8382,0.2167
highly_non_iid,46,5,5,6000,0.43376,0.7565,0.1025,0.7941,0.1815,0.7945,0.1231,0.8235,0.2141
highly_non_iid,47,5,5,6000,0.433075,0.7565,0.1025,0.7941,0.1815,0.796,0.1239,0.8235,0.2154
highly_non_iid,48,5,5,6000,0.432417,0.757,0.1027,0.7941,0.1818,0.796,0.1239,0.8235,0.2154
highly_non_iid,49,5,5,6000,0.431784,0.757,0.1027,0.7941,0.1818,0.796,0.1239,0.8235,0.2154
highly_non_iid,50,5,5,6000,0.431175,0.757,0.1027,0.7941,0.1818,0.796,0.1239,0.8235,0.2154
